Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"black pink kpop merch t shirt",193,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,621461,18.02,44,702.09,12,4.07,3,9,32,0,0,"Jul, 2025",0,332,11.09
"my wife is puerto rican shirt",452,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1384725,17.49,3,50.95,5,4.93,1,14,-58,0,-19,"May, 2024",0,1000,0.30
"i love my hot wife shirt",251,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",18,1100148,15.99,26,393.08,15,4.52,2,243,106,0,-27,"Feb, 2025",2,737,5.11
"grand canyon national park t shirt",171,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,964580,18.14,14,229.53,12,4.52,1,58,0,-34,-12,"Jul, 2025",0,10000,2.71
"most expensive day ever disney shirt",158,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,866429,16.47,9,153.14,7,4.90,1,104,169,-24,-19,"Nov, 2024",1,367,1.30
"daddy shark doo doo shirt police",168,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,608078,17.73,62,993.17,10,4.80,1,103,92,0,-6,"Jun, 2025",0,47,9.08
"this shirt saves lives st jude",253,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1239582,20.57,13,235.07,17,4.62,1,67,-31,0,-35,"May, 2024",0,144,1.92
"stealing hearts and blasting farts shirt",19,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1013294,17.27,16,235.23,19,4.45,1,115,337,0,0,"Mar, 2025",0,113,0.75
"maryland tough baltimore strong t shirt",39,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,940130,19.98,11,233.44,15,4.76,1,152,-50,600,-6,"Apr, 2025",0,109,0.94
"i stand with you t shirt",15,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",12,985478,15.86,18,229.71,9,4.79,1,85,110,0,-29,"Jun, 2025",0,1000,4.64
"i do my own stunts shirt",148,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1345317,16.21,21,354.36,18,4.80,1,248,185,0,-14,"Dec, 2024",3,10000,1.48
"kendrick lamar damn shirt long sleeve",218,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",12,1207989,21.9,19,415.03,10,4.64,1,76,178,0,-20,"May, 2025",0,71,6.65
"niall horan and harry styles shirt",282,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1328335,18.52,10,160.52,15,4.88,2,143,-44,-98,-44,"Jun, 2024",1,72,1.94
"b 2 stealth bomber t shirt",105,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,989257,17.27,53,941.66,6,4.66,1,14,1067,0,0,"Jun, 2025",0,204,31.55
"rock paper scissors throat punch shirt",24,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,927164,18.99,3,47.82,4,5.00,1,27,125,0,-24,"Sep, 2024",0,114,0.74
"your killin me smalls t shirt",105,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,935359,19,17,329.05,11,4.48,1,131,67,-33,-20,"Jun, 2025",0,227,9.21
"ozzy osbourne t shirt long sleeve",346,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,900021,34.46,6,194.05,5,4.74,1,5,-54,0,0,-,1,381,1.08
"you re killing me smalls shirt",215,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",12,1208814,19.13,18,351.71,13,4.62,1,147,,-33,-20,"Jun, 2025",0,154,6.59
"my favorite nurse calls me dad shirt",125,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1249477,19.73,30,564.83,7,4.77,1,0,,0,-16,"Jun, 2025",0,300,4.91
"life is better at the lake shirt",134,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",10,973538,16.72,18,259.64,9,4.52,1,41,71,0,108,"May, 2025",0,10000,13.47
"class of 2036 grow with me shirt",398,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1167348,17.71,4,57.98,17,4.80,1,68,-87,0,-12,"Aug, 2023",2,368,0.88
"jesus is my superhero t-shirt kids",43,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1143234,16.7,21,337.51,18,4.35,1,90,-35,-24,0,"Jul, 2025",0,294,2.90
"i survived the snyder era t shirt",86,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,612497,17.45,13,207.63,12,4.75,1,43,-6,-7,-14,"May, 2025",0,91,2.63
"troy and abed in the morning shirt",152,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1005952,22.97,18,406,11,4.60,1,176,11,387,-15,"Aug, 2024",0,127,1.61
"i love my hot wife t shirt",89,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",19,1268024,16.68,22,319.7,20,4.70,2,181,41,0,-27,"Feb, 2025",1,10000,4.35
"send lawyers guns and money t shirt",381,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1146661,18.89,17,292.05,10,4.39,1,110,38,-86,-6,"May, 2024",0,347,3.88
"woke up sexy as hell again shirt",1226,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1363627,16.17,21,349.95,19,4.74,1,55,28,0,-19,"Jul, 2025",2,2000,9.34
"he left the 99 to rescue me shirt",37,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",7,1235131,16.08,39,586.16,9,4.65,1,32,43,0,-12,"Sep, 2024",0,108,13.31
"i get us into trouble 2 shirt set",58,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,1437052,16.31,17,247.86,12,4.70,1,64,-22,0,-12,"Dec, 2024",0,531,3.89
"girls just wanna have fundamental rights t-shirt",245,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",6,1254124,17.58,13,225.08,18,4.58,1,103,136,0,-24,"Nov, 2024",0,151,3.14
"t shirt from the river to the sea",258,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1194748,16.82,10,154.9,8,4.58,1,91,50,140,-12,"Jun, 2025",3,1000,3.61
"her fight is my fight breast cancer shirt",253,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",7,1313069,16.1,19,297.06,20,4.41,1,214,-18,0,511,"Oct, 2024",0,377,4.88
"even jesus had a fishing story t-shirt",197,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1436677,15.96,4,48.7,13,5.00,1,29,-78,-37,-3,"May, 2024",1,173,1.35
"buy me a drink its my birthday shirt",322,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,1476597,15.95,13,196.36,12,4.80,1,47,264,-51,-1,"Apr, 2025",0,310,2.71
"this is my circus these are my monkeys shirt",56,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1386526,17.03,6,98.18,11,4.09,1,45,26,0,-7,"May, 2025",2,143,1.65
"navy blue female shirt with big shark on front",205,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",36,860536,17.19,119,1992.17,13,4.56,2,94,2,0,0,"Jul, 2025",0,134,12.10
"me and my daughter talk shit about you shirt",288,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1339546,16.12,93,1500.13,13,4.64,1,368,9795,0,0,"Jun, 2025",0,753,6.73
