Phrase,Search Volume,Category,Fulfillment,Size Tier,Variation Count,BSR,Price,Monthly Sales,Monthly Revenue,Review Count,Reviews Rating,Sellers,Last Year Sales,Sales Year Over Year,Sales Trend (90 days),Price Trend (90 days),Best Sales Period,Broad Reach Potential,Number of competing products,Sales to Reviews
dead kennedys t shirt,1224,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1139400,22.19,9,190.93,6,4.4,1,43,59,0,0,"Jul, 2025",2,419,2.24
chuck e cheese shirt,735,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,1111048,21.74,27,512.26,18,4.9,2,10,-70,0,-11,"Jun, 2025",1,200,3.18
fiesta shirt for girls,29,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,4,722164,15.21,15,245.44,5,4.58,1,122,32,0,-5,"May, 2025",2,70000,8.07
baltimore orioles shirt kids,57,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,8,334543,25.18,72,1671.6,5,4.82,2,14,,0,-20,"May, 2025",0,2000,17.36
praise the lord shirt,36,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,13,1191246,15.83,80,1392.47,11,4.54,1,89,,0,0,"Jul, 2025",0,678,22.72
oh hey kindergarten shirt,93,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1278111,17.33,2,40.4,1,4.5,1,0,,6,14,"May, 2025",0,566,2.28
charli xcx brat shirt,157,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,2,719335,21.42,24,541.73,10,4.36,1,0,,808,6,"Oct, 2024",2,68,2.09
brat charli xcx shirt,190,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1483566,20.68,11,219.01,6,4.68,1,0,,-117,-21,"Apr, 2025",2,67,3.03
cats for trump shirt,46,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1301845,16.89,8,126.49,12,4.36,1,0,,0,-12,"Sep, 2024",3,496,1.45
moo deng t shirt,198,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1438351,17.1,3,46.13,2,4.65,1,0,,0,-11,"Jul, 2025",2,1000,3.57
teddy swims t shirt,137,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,7,791721,16.82,6,104.76,7,4.65,1,40,,0,-13,"May, 2025",0,123,2.14
princess security shirt boys,543,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,2,944933,17.28,55,944.91,8,4.72,1,115,,0,0,"Jul, 2025",1,254,8.25
sabrina carpenter shirt kids,131,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,10,668801,18.57,54,876.62,13,4.57,2,116,,30,-28,"Jul, 2025",2,75,9.17
glen powell twisters shirt,47,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1051172,19.59,6,133.84,10,4.2,1,0,,0,0,"Nov, 2024",0,58,3.37
gorilla tag t shirt,44,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,915546,17.26,27,460.1,3,4.56,2,29,,0,-9,"May, 2025",0,194,22.92
gorilla tag shirt kids,58,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,1036386,18,41,766.3,3,4.83,1,21,,0,-9,"May, 2025",0,603,52.79
trump shirt better coverage,100,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1498464,17.07,30,440.73,16,4.62,1,0,,0,-17,"Nov, 2024",3,373,3.36
year of snake shirt,33,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1322871,18.98,4,73.75,7,4.6,1,0,,-15,-25,"Jan, 2025",3,591,1.07
1st grade shirt girls,435,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,7,100914,17.44,291,4660.03,14,4.62,1,146,14,0,0,"Jul, 2025",4,10000,58.83
margarita social club shirt,168,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,18,1151118,20.19,19,287.44,4,4.43,2,35,,-117,5,"Jun, 2025",0,162,3.3
dad mows best shirt,70,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1047518,18.31,140,2480.4,5,4.65,1,42,,0,-26,"Jun, 2025",1,522,41.03
vintage indy 500 shirt,122,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,2,1321295,22.81,26,543.3,7,4.74,1,12,,0,-6,"May, 2025",2,391,8.39
play is learning shirt,432,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,6,556622,16.02,69,907.1,13,4.32,1,279,,0,0,"Jul, 2025",1,550,10.21
uconn paige bueckers shirt,149,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,520018,29.74,48,1431.2,18,4.84,1,171,-34,-44,-21,"Apr, 2025",0,139,16.57
jin super tuna shirt,243,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1004739,19.71,18,328.08,2,3,1,15,,0,0,"Jul, 2025",1,139,21.31
pickles and jesus shirt,430,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,6,1381120,16.71,11,189.94,4,4.8,1,14,-66,0,-144,"Jul, 2025",0,233,4.17
project hail mary shirt,270,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,1333485,18.97,18,348.08,3,5,1,0,,0,-32,"Jul, 2025",0,175,8.19
field day yellow shirt,185,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1404200,16.68,10,153.07,8,4.17,1,123,5878,0,-3,"May, 2025",2,2000,1.11
fiesta shirt toddler boy,174,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,5,1025049,17.46,41,807.85,10,4.59,1,67,-10,-70,-31,"May, 2025",0,40000,9.42
dirty heads t shirt,462,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1361725,17.92,16,277.38,5,3.94,1,42,,0,-26,"Jul, 2024",1,249,4.83
albert collins t shirt,42,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1214966,19.95,24,471.35,4,4.7,1,0,,-62,-14,"Apr, 2025",0,240,5.9
oregon ducks kids shirt,132,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,477976,21.19,23,487.81,7,4.5,1,74,,60,-6,"Dec, 2024",1,894,4.71
billabong all day shirt,221,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,36,384208,38.49,205,6952.67,11,4.58,2,123,483,-54,-23,"Jul, 2025",0,708,31.97
candy crew t shirt,349,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1156100,16.48,22,352.32,10,4.56,1,173,,0,0,"Oct, 2024",2,867,3.76
zach bryan shirt kids,135,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,25,707901,23.59,78,2616.67,13,3.95,1,33,,0,54,"May, 2025",0,209,23.91
indy 500 shirt vintage,186,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1386656,23.27,21,475.83,7,4.69,1,15,,0,-6,"May, 2025",2,384,5.65
45 and 47 shirt,90,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,7,1090597,17.74,22,357.61,2,4.33,1,0,,0,0,"Jun, 2025",4,1000,34.78
hello 3rd grade shirt,20,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,554386,15.32,18,289.27,7,4.78,1,82,,0,0,"Jul, 2025",2,852,2.69
skibbidi rizz christmas shirt,61,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1159288,15.69,11,167.52,14,4.6,1,89,,0,-10,"Dec, 2024",0,110,1.5
i'm back trump shirt,23,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1483993,17.05,79,1322.31,14,4.88,1,0,,0,-19,"Jun, 2025",1,378,15.66
juan soto t shirt,39,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,862060,23.75,25,581.46,6,4.13,1,0,,0,-12,"Mar, 2025",2,2000,4.38
fart smeller t shirt,46,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1274481,16.57,53,842.49,6,4.61,1,259,,0,-23,"Dec, 2024",0,181,23.89
4th grade shirt girls,612,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,161666,17.77,132,2376.92,9,4.76,1,174,28,0,-11,"Jul, 2025",3,4000,47.52
little pecker club shirt,1223,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,3,1378753,19.41,29,554.77,17,4.81,1,208,,-19,-36,"Dec, 2024",1,108,3.47
dog in me shirt,104,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,477373,17.33,84,1543.19,19,4.55,2,805,-2,0,-7,"May, 2025",4,1000,13.66
1st grade thing shirt,221,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,4,166642,17.14,91,1444.22,7,4.9,1,93,96,0,0,"Jul, 2025",0,429,56.04
i eat cement shirt,1742,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,1087291,17.19,46,843.7,8,4.88,1,26,,0,0,-,2,152,19.07
