Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"i ️ my boyfriend shirt",276,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",13,404888,15.99,110,1531.12,15,4.63,2,406,,0,-5,"Jul, 2025",4,2000,22.63
"thomas and friends adult shirt",157,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,904994,22.99,25,563.79,13,4.62,1,40,-35,0,-37,"Jul, 2025",1,416,8.98
"teaching is my jam shirt",452,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,855074,15.1,34,469.55,10,4.55,1,17,-46,0,-81,"Jul, 2025",0,313,0.36
"smokey the bear resist shirt",110,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",15,598959,16.53,52,897.98,6,4.28,1,29,,0,0,"Jun, 2025",3,214,22.44
"mermaid mom and dad shirt",170,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1356969,16.66,23,371.71,11,4.73,1,53,-69,0,-18,"Jul, 2025",0,3000,10.11
"hootin leads to hollerin shirt",545,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1387205,16.42,9,132.86,3,4.57,1,3,,0,-41,"Dec, 2024",2,2000,4.59
"you missed trump shirt cowboy",63,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,763195,17.44,40,696.91,13,4.86,1,27,,0,0,"Nov, 2024",0,485,26.50
"trump vance rfk elon shirt",39,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",6,1138182,16.98,17,287.52,15,4.84,1,0,,-91,-6,"Jan, 2025",0,322,1.88
"trump cowboy hat t shirt",21,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1468773,16.73,17,273.83,6,4.40,1,60,,75,-23,"Nov, 2024",0,1000,7.50
"trump vance kennedy musk shirt",81,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1210338,16.38,23,373.32,19,4.77,1,0,,0,-6,"Jul, 2024",2,119,2.96
"donald trump shirt daddy's home",102,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1109295,15.19,16,275.91,10,4.65,1,0,,0,0,-,2,297,3.14
"first grade dream team shirt",405,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",6,811533,15.93,66,860.4,4,4.40,1,56,,0,0,"Aug, 2024",1,523,37.81
"oh hey pre k shirt",378,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1378982,15.97,2,19.29,2,5.00,1,4,-64,0,-21,-,0,379,1.09
"i love my cougar shirt",71,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,491432,18.76,79,1570.1,7,4.73,1,193,69,0,-6,"Jul, 2025",3,186,17.98
"my yeast infection itches shirt",422,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1110143,16.61,29,467.91,2,5.00,1,0,,0,-133,"Jul, 2025",0,1000,76.49
"mama shirt 4th of july",129,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",10,594007,15.04,507,7161.16,13,4.63,1,578,,0,22,"Jun, 2025",3,10000,96.32
"lainey wilson shirt youth girls",84,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,553390,20.56,75,1482.44,19,4.47,1,532,,0,8,"Dec, 2024",0,279,9.01
"skibidi toilet t shirt kids",81,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1123098,17.89,8,143.34,8,4.85,1,4,,0,-10,"Jun, 2025",0,154,3.41
"merry christmas bruh shirt boys",70,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1016903,16.78,14,250.68,19,4.90,1,0,,0,2,"Dec, 2024",0,130,1.18
"soup eating fart machine shirt",44,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,777838,15.88,23,390.48,5,5.00,1,0,,-5,-29,"Dec, 2024",0,478,27.33
"rizz the season shirt boys",36,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1255279,17.18,16,276.01,14,4.69,1,211,,0,-10,"Dec, 2024",1,216,0.83
"tonces the driving cat shirt",202,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1475459,18.19,43,757.53,4,4.73,1,1,-23,0,-13,"Jul, 2025",0,72,4.56
"anti fourth of july shirt",252,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1307633,17.27,71,1238.53,6,4.58,1,85,408,0,0,"Jun, 2025",2,692,21.65
"4th of july protest shirt",75,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,705636,16.82,226,3829.25,6,4.66,1,66,130,0,0,"Jun, 2025",2,943,63.99
"level 6 unlocked birthday shirt",237,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,906815,15.18,38,651.3,7,4.81,1,6,-40,0,-19,"Jul, 2025",0,2000,9.25
"juan soto yankees t shirt",59,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1190665,24.85,22,508.37,6,4.48,1,3,,0,-11,"Jul, 2025",1,682,4.01
