Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"mom and dad of the birthday girl shirt",72,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,596460,17.2,28,485.27,20,4.80,1,112,-19,0,0,"Jun, 2025",2,50000,10.85
"dont worry daddys on his way trump shirt",18,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1454727,15.93,43,723.39,6,4.78,1,5,,0,-8,"Nov, 2024",0,151,13.57
"do math not magic show your work shirt",461,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",16,1058033,15.26,83,1236.98,14,4.74,1,92,,0,-141,"Jul, 2025",0,235,7.13
"first day of 5th grade shirt for girls",87,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,319508,17.26,120,1741.25,8,4.77,1,45,-6,0,0,"Jul, 2025",1,2000,25.38
"i love it when were cruising together shirt",429,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1004246,15.81,26,411.32,14,4.55,1,75,-47,0,-25,"Jul, 2025",0,291,12.99
"a clean beaver always gets more wood shirt",173,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1378936,15.06,36,529.41,10,4.97,1,343,,0,-38,"Jul, 2025",0,116,5.03
"it's ok to feel all the feels shirt",177,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,1102254,17.07,37,641.33,20,4.63,1,497,,0,-4,"Aug, 2024",2,20000,2.35
"the horrors persist but so do i shirt",611,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1073526,17.08,12,188.33,3,4.65,1,13,,0,-42,"Jul, 2025",1,232,6.00
"i m just here for the wieners shirt",136,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",13,652331,16.37,283,4944.8,20,4.78,1,457,-7,0,0,"Jun, 2025",0,304,73.61
"just a dad who always comes back shirt",68,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,1141844,18.27,75,1103.08,19,4.75,2,305,,0,-10,"Jun, 2025",0,299,5.45
